index,title,author,rating,price
57,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6 out of 5 stars,$14.27
58,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.6 out of 5 stars,$29.66
59,Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.5 out of 5 stars,$13.56
60,The Road Back to You: An Enneagram Journey to Self-Discovery,Ian Morgan Cron,4.7 out of 5 stars,$14.69
61,Mrs. Everything: A Novel,Jennifer Weiner,4.2 out of 5 stars,$16.80
62,The Outsiders,S. E. Hinton,4.7 out of 5 stars,$7.99
63,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.6 out of 5 stars,$15.57
64,How to Win Friends & Influence People,Dale Carnegie,4.6 out of 5 stars,$11.98
65,Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,4.6 out of 5 stars,$9.60
66,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition),Silly Bear,4.8 out of 5 stars,$5.53
67,"School Zone - Big First Grade Workbook - Ages 6 to 7, Basic Math, Addition & Subtraction, Telling Time, Reading, and Phonics (School Zone Big Workbook Series)",School Zone,4.7 out of 5 stars,$6.69
68,The Overstory: A Novel,Richard Powers,4.4 out of 5 stars,$11.82
69,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8 out of 5 stars,$12.46
70,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,$7.99
71,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,$13.30
72,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.3 out of 5 stars,$5.57
73,Outliers: The Story of Success,Malcolm Gladwell,4.6 out of 5 stars,$7.57
74,"The Official ACT Prep Guide 2019-2020, (Book + 5 Practice Tests + Bonus Online Content)",ACT,3.7 out of 5 stars,$22.20
75,Your Baby's First Word Will Be DADA,Jimmy Fallon,4.2 out of 5 stars,$5.00
76,The Great Gatsby,F. Scott Fitzgerald,4.2 out of 5 stars,$7.80
77,Then She Was Gone: A Novel,Lisa Jewell,4.4 out of 5 stars,$9.53
78,The Book Thief,Markus Zusak,4.6 out of 5 stars,$10.69
79,On Earth We're Briefly Gorgeous: A Novel,Ocean Vuong,3.9 out of 5 stars,$15.60
80,Undo It!: How Simple Lifestyle Changes Can Reverse Most Chronic Diseases,Dean Ornish M.D.,4.5 out of 5 stars,$18.00
81,I Love Dad with The Very Hungry Caterpillar (The World of Eric Carle),Eric Carle,4.8 out of 5 stars,$6.38
82,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.4 out of 5 stars,$5.99
83,"The Rainbow Comes and Goes: A Mother and Son On Life, Love, and Loss",Anderson Cooper,4.5 out of 5 stars,$9.23
84,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8 out of 5 stars,$15.12
85,Sea Stories: My Life in Special Operations,William H. McRaven,4.7 out of 5 stars,$18.00
86,Mueller Report: Large Print,Robert S. Mueller III,4.4 out of 5 stars,$9.67
